cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,True,0,15039075,15039097,38.779514,-121.604324,14.784269,0.28386137,0.05,0.1,24.64045,73.92135,3649.5625,7.29,1e-05,
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
False,False,1,15039097,15059811,38.663544,-121.61228,59.422066,0.1536634,0.045,0.09,99.03678,297.11032,3674.125,7.29,6e-05,11425500.0
